Terakhir,Pembukaan,Tertinggi,Terendah
183470,182580,182860,182580
178760,178690,178870,178365
182830,179900,182130,179880
181800,183000,183800,183000
183650,181690,183500,181390
181600,181650,181650,181120
181440,179820,181400,179800
180440,180000,180000,180000
180860,180650,180650,180650
181310,180300,180300,180300
179820,178700,179840,178310
178580,176700,178690,176180
176560,177500,177500,176230
177130,176820,176820,176820
177210,177000,177000,177000
176230,177030,177030,176000
177180,178040,178050,178040
177500,178410,178640,176230
175740,176090,176090,175330
175890,175520,175760,175520
174250,173940,173940,173940
172000,174170,174170,170460
176300,174760,175200,174760
173620,176000,176000,172750
176330,177450,177530,177450
177710,177550,177550,177280
177680,174820,177150,174820
175330,174880,175730,174880
174980,172500,172740,172250
174880,176290,176400,176290
172700,173055,173135,171925
173065,173545,173590,172980
177490,177350,177350,177190
176050,178010,178010,175360
179210,178400,179120,178400
178510,178420,178420,178420
177260,179540,179540,179540
179040,177620,178150,177620
177440,174710,174710,174710
175030,172910,175030,172910
174170,173320,173450,173190
173440,172770,173420,171420
175030,174780,174780,174780
176110,171890,172280,171850
172170,172840,172840,171300
174380,172580,173910,172580
174100,172910,172910,172570
172110,172010,172010,172010
171320,170640,170640,170640
173030,172760,174410,172760
173870,173180,174000,171270
173880,174670,175300,172680
174890,175900,175900,174500
175780,175310,176220,175310
174980,170950,170950,170950
169820,172220,172220,167960
172130,171560,171560,171560
170890,171780,171780,171780
174270,176650,176650,176650
175150,176070,176270,173640
177680,177910,177910,177650
176790,173250,175800,173250
174060,174060,174060,174060
175870,174750,174750,174750
168930,169010,169010,169010
168940,168880,168880,168880
170000,168530,168860,168530
165410,163900,165150,162530
164670,163640,163640,163640
160160,159440,159440,159440
160670,162530,162530,162530
165330,164690,164690,164690
166100,164710,164710,164710
166830,167430,167430,165940
163900,165090,165660,165050
166920,159460,165350,159460
158830,151460,157280,150260
150140,151580,151580,151580
149720,149660,150800,147690
149460,152060,152060,150230
154110,150450,156150,147630
150000,148500,150300,148500
153220,159100,159100,152930
160650,165430,165430,158150
165830,167000,167000,165310
167660,167590,167590,166210
169150,170990,171010,167290
169160,169600,170360,168630
169050,165570,167100,165520
166690,166420,166450,166420
167000,160650,166380,160650
162060,160250,162430,160020
159660,159520,161780,159520
167640,167900,168440,167000
167820,167760,167760,167760
168640,168100,168360,168100
171350,170740,170740,170740
168630,167230,167810,167230
165800,164140,165190,164140
164950,163980,164140,163620
164110,161730,163480,161730
158705,158615,158845,158185
158625,158550,158625,158345
162410,160100,160840,159730
161700,160790,160810,160790
160980,159080,159390,158750
160880,160670,160690,160670
161820,160670,160670,160670
161280,159100,159830,158840
160950,158070,159240,157930
160220,157940,158700,157300
159500,160230,160230,157600
162100,160600,160600,160600
162610,159970,161530,159770
162730,160160,161200,159900
161450,159450,160360,158930
161320,160670,160710,159340
162080,161680,161780,161680
161540,159500,160950,159500
160830,158500,159350,158010
159970,158310,158550,157760
160100,159500,159500,159500
156125,155720,156270,155665
155705,155740,155905,155645
160340,157860,158800,157710
159300,158040,158340,157500
159660,158780,158780,158780
158750,157320,157390,156340
159370,158680,158680,157490
160330,157760,158960,157410
159780,158300,158750,157020
160380,161260,163840,161260
161870,160260,160260,160260
161330,160820,161240,160030
159640,159100,159210,158860
157210,154870,155950,154820
152095,152085,152395,152085
