Terakhir,Pembukaan,Tertinggi,Terendah,Terakhir,Pembukaan,Tertinggi,Terendah
55.66,56.20,58.82,53.59,14180.0,13995.0,14230.0,13995.0
56.20,56.22,57.64,55.33,14004.0,13945.0,14027.0,13940.0
55.63,60.25,60.92,54.72,13935.0,14000.0,14000.0,13890.0
60.21,57.77,60.94,57.29,14007.0,14118.0,14158.0,14003.0
57.51,59.27,60.28,56.04,14082.5,14082.5,14167.5,14077.5
58.47,57.72,59.93,56.75,14127.5,14132.5,14182.5,14092.5
57.43,52.50,57.98,51.50,14155.0,14330.0,14355.0,14080.0
52.51,54.24,54.84,50.72,14325.0,14205.0,14330.0,14205.0
53.99,53.42,54.63,50.60,14275.0,14275.0,14275.0,14275.0
53.50,58.94,59.70,53.05,14275.0,14355.0,14435.0,14255.0
58.63,62.93,63.81,57.33,14392.5,14452.5,14532.5,14392.5
62.76,61.65,63.64,60.64,14450.0,14335.0,14475.0,14335.0
61.66,61.43,62.95,60.04,14325.0,14275.0,14375.0,14265.0
61.94,62.95,64.75,60.95,14255.0,14190.0,14287.0,14180.0
63.30,64.00,66.60,62.28,14187.5,14047.5,14202.5,14047.5
64.00,63.76,64.61,62.99,14042.5,14082.5,14082.5,13992.5
63.89,63.33,64.79,63.13,14092.5,14132.5,14172.5,14092.5
63.08,60.24,63.34,60.13,14125.0,14225.0,14246.0,14125.0
60.14,58.98,60.73,58.17,14240.0,14195.0,14260.0,14155.0
59.04,58.45,60.39,58.05,14165.0,14235.0,14250.0,14084.0
58.52,56.07,58.95,55.96,14259.0,14309.0,14337.0,14234.0
56.07,55.83,57.19,54.52,14310.0,14120.0,14340.0,14115.0
55.80,57.17,57.88,55.02,14115.0,13990.0,14135.0,13965.0
57.26,55.78,57.81,55.29,14057.5,14102.5,14127.5,14037.5
55.59,52.66,55.87,51.23,14142.5,13982.5,14157.5,13982.5
52.72,55.32,55.75,51.80,13965.0,13950.0,14000.0,13890.0
55.26,53.56,55.66,51.33,13940.0,14065.0,14135.0,13940.0
53.69,53.73,54.24,51.80,14085.0,14185.0,14235.0,14084.0
53.80,51.73,53.92,50.38,14175.0,14035.0,14200.0,14035.0
51.59,48.30,53.31,48.11,14045.0,14190.0,14190.0,13995.0
