Terakhir,Pembukaan,Tertinggi,Terendah,Terakhir,Pembukaan,Tertinggi,Terendah
1742.10,1758.60,1758.60,1736.50,60.00,64.42,64.82,58.20
1736.20,1737.80,1750.40,1737.00,64.60,64.75,65.34,63.60
1740.50,1735.70,1741.80,1735.70,64.80,65.33,65.43,63.80
1738.90,1737.50,1738.30,1733.60,65.39,65.56,66.40,64.13
1729.30,1729.60,1735.80,1722.00,65.61,65.96,66.24,65.41
1732.90,1745.70,1745.70,1729.10,66.02,64.70,66.21,64.54
1732.20,1726.60,1728.00,1723.70,64.44,63.84,64.96,63.13
1728.20,1691.30,1728.10,1691.30,64.01,64.73,65.98,63.63
1689.80,1718.50,1718.50,1687.20,65.05,66.68,67.98,64.57
1711.20,1698.60,1715.10,1698.60,66.09,64.16,66.42,63.82
1712.70,1723.50,1724.80,1704.00,63.83,61.08,64.86,60.52
1727.60,1739.00,1739.00,1718.50,61.28,59.55,61.99,59.24
1745.30,1732.70,1745.40,1732.70,59.75,60.23,61.21,59.38
1734.60,1759.50,1759.50,1759.50,60.64,61.95,62.92,59.96
1740.90,1769.00,1769.00,1730.00,61.50,63.46,63.57,61.34
1786.30,1809.00,1809.00,1785.50,63.53,63.39,63.81,62.65
1807.10,1819.70,1819.70,1798.80,63.22,61.29,63.51,60.97
1814.60,1815.80,1815.80,1803.80,61.67,62.16,63.00,60.67
1817.10,1797.00,1819.00,1797.00,61.49,58.88,61.84,58.82
1786.20,1775.00,1795.50,1775.00,59.24,60.20,60.29,58.59
1783.90,1790.60,1790.60,1781.70,60.52,61.68,62.26,59.79
1782.10,1801.00,1801.30,1780.00,61.14,60.24,61.73,59.43
1808.50,1819.80,1819.80,1808.20,60.05,59.98,60.95,59.33
1818.75,1820.90,1827.00,1815.60,60.09,60.36,60.95,59.96
1821.05,1822.45,1826.30,1820.15,60.37,60.01,60.75,60.01
1832.50,1828.80,1830.70,1828.80,59.47,57.94,59.82,57.41
1836.60,1833.50,1835.50,1833.50,58.24,58.40,58.71,57.84
1852.40,1862.00,1862.80,1852.20,58.68,58.45,58.91,58.08
1847.20,1852.60,1857.60,1847.00,58.36,58.11,58.62,57.27
