Terakhir_Emas,Pembukaan_Emas,Tertinggi_Emas,Terendah_Emas,Terakhir_Minyak,Pembukaan_Minyak,Tertinggi_Minyak,Terendah_Minyak
1473.30,1444.50,1474.20,1444.50,58.58,59.27,60.94,54.72
1563.10,1450.20,1582.40,1450.20,55.10,57.85,57.99,50.52
1514.50,1575.80,1575.80,1536.70,54.07,55.00,63.38,52.84
1556.90,1548.80,1556.70,1548.80,54.18,54.28,56.92,50.99
1510.70,1534.70,1534.70,1534.70,55.17,54.15,58.74,54.07
1567.60,1515.90,1544.20,1497.20,61.06,55.47,62.34,55.35
1626.10,1595.00,1595.00,1595.00,51.56,61.60,65.65,50.97
1596.60,1606.00,1707.40,1595.20,44.76,51.01,54.50,43.85
1606.70,1485.00,1503.00,1485.00,20.48,43.70,48.66,19.27
1713.20,1747.50,1779.10,1709.50,18.84,20.10,29.13,-40.32
1776.80,1720.10,1795.40,1720.10,35.49,19.04,35.77,18.05
1836.50,1774.50,1835.00,1727.50,39.27,35.21,41.63,34.27
2026.90,1830.00,2035.00,1830.00,40.27,39.84,42.40,38.54
2009.50,2098.50,2121.70,1958.30,42.61,40.39,43.78,39.58
1922.70,1962.00,1980.00,1919.40,40.22,42.83,43.43,36.13
1908.30,1918.10,1939.90,1900.50,35.79,39.90,41.70,34.92
1797.20,1920.90,1975.10,1788.00,45.34,35.24,46.26,33.64
1914.00,1826.80,1913.90,1826.80,48.52,45.08,49.28,43.92
1859.50,1934.70,1979.90,1825.50,52.20,48.40,53.93,47.18
1740.90,1870.00,1875.90,1730.00,61.50,51.99,63.81,51.64
1722.40,1759.50,1759.50,1686.10,59.16,61.95,67.98,57.25
1775.70,1717.90,1804.50,1717.90,63.58,59.49,65.47,57.63
1911.00,1784.60,1916.40,1783.80,66.32,63.64,67.52,61.56
1777.70,1915.00,1922.80,1757.60,73.47,66.68,74.45,66.41
1819.10,1776.00,1840.30,1775.00,73.95,73.50,76.98,65.21
1820.10,1818.60,1837.40,1680.00,68.50,73.91,73.95,61.74
1758.50,1818.60,1838.70,1723.70,75.03,68.55,76.67,67.12
1785.90,1759.10,1817.50,1747.90,83.57,75.12,85.41,74.23
1776.50,1786.80,1881.90,1761.00,66.18,83.36,84.97,64.43
1828.60,1777.40,1831.40,1753.00,75.21,67.01,77.44,62.43
1838.00,1830.15,1848.45,1781.45,85.90,75.62,87.08,74.30
