Terakhir,Pembukaan,Tertinggi,Terendah
15158,15,1507,14975
15089,14906,1496,14897
15056,14932,14932,14894
15042,15096,15096,14972
15217,15138,15138,15138
15187,15159,15159,15159
15228,14911,15103,14911
15073,1494,14953,1485
15107,1488,14954,14842
146225,146325,146455,146075
14985,14892,14902,14839
15047,14843,1492,1481
15018,14909,1492,14852
1508,14977,15023,1492
15076,15055,15057,1494
15181,15055,15092,1498
15192,15115,15115,15115
15169,14984,15028,14888
15136,14963,14999,14959
15185,14951,15047,14948
15085,14899,14981,14899
14986,14878,14885,148
15023,1494,1494,14801
15104,15005,1503,14888
15117,151,151,151
15374,15347,15347,15347
1528,15228,15228,15228
15548,15448,15448,1541
15544,15421,1545,1538
15569,1527,1545,1527
15394,15208,15265,15132
15335,15242,15242,15155
15387,1552,1552,1552
15477,15488,15567,15488
15462,15243,15347,1522
15371,1522,15261,1522
15288,15173,1519,1515
15293,15249,15249,1515
1535,15261,15261,15195
15398,15199,15276,15199
15354,15155,15222,151
15251,15229,15245,1513
15391,1529,153,15244
15298,15337,15346,1508
15409,1548,1548,1526
15523,15397,1543,1535
15431,15242,154,15226
15437,15389,15389,15222
15519,15413,15413,15302
15525,15368,15518,15352
1549,15128,15363,15099
15302,15026,152,1499
15145,1533,1533,15001
15483,15383,15383,15257
15523,15389,1547,1538
15493,1572,1572,15391
15774,15601,1573,15549
15689,15566,15625,15566
15526,15378,15535,15378
15432,15288,15404,15288
15529,15389,1549,15304
15509,15388,15423,15388
15491,15426,15465,15364
15373,15434,15434,15256
15441,15304,15586,15304
15383,15288,15344,15288
1534,15319,15326,15249
15455,15401,15466,15341
15492,1551,15599,15392
15588,15795,15841,15449
15933,15827,15907,1572
15891,15628,15839,15612
153515,153795,154005,152815
153805,153525,15429,153525
15631,15641,15669,1555
15699,15719,15788,1562
15812,15723,1578,15716
15845,15662,15793,15646
15698,15845,15845,15632
15702,1539,15635,15373
15411,15343,15388,15305
15482,15327,15406,15327
1548,15302,15407,15302
1544,15439,15439,1531
15562,15574,15577,15413
15637,1553,15612,1546
1561,15385,15531,15326
15477,15562,15717,15231
155,1536,15501,15264
15415,15428,15438,1535
1542,1533,15421,15326
15516,15106,15477,15106
15167,15072,15111,14986
15096,14874,1505,14874
14923,14762,14762,14762
14685,14508,14856,14433
14733,14605,14696,14529
14773,1469,14724,1469
14685,14617,14617,14617
14672,14604,14604,14604
14612,14651,1468,14561
14697,14672,14672,14672
14676,14586,14596,14586
14728,1466,1466,1466
14723,14833,14874,14615
1474,14644,14885,14594
14693,1455,14673,1455
14566,14534,14534,14534
14584,14523,14523,14523
1457,14509,14509,14509
14514,14614,14672,14614
14566,14505,14505,14505
14444,14306,14308,14306
14434,14369,14369,14369
14427,1428,1433,1428
142355,142125,142665,141285
14621,14655,14655,14619
14489,14286,14286,14286
14297,1444,1444,14244
14529,1451,1451,14457
14506,14445,14445,14445
14539,14419,14454,14405
14574,14613,14739,14487
1457,14391,14496,1439
1439,1444,1444,14196
1436,14191,14287,14174
13912,13821,13821,13821
13948,13797,13945,13797
1387,13797,13842,13797
13889,13892,13892,13798
13881,13783,13787,13783
13812,13738,13738,13738
13764,1369,1369,1369
13743,1378,1378,1367
13893,13885,13885,13824
13859,137,137,137
13776,13766,13766,13688
13739,13665,13665,13665
13729,13565,13565,13565
13575,13429,13478,13429
13414,13324,13324,13324
13265,13278,13278,13278
13233,13226,13226,13226
128495,128425,128685,128325
128415,12842,128515,128365
13301,13292,13292,13292
13318,13284,13284,13284
13213,13213,13213,13213
13201,13201,13201,13201
13242,13242,13242,13242
13225,13225,13225,13225
13331,13331,13331,13331
13445,13445,13445,13445
13434,13434,13434,13434
13502,13502,13502,13502
13372,13372,13372,13372
13351,13351,13351,13351
13314,1338,1338,1338
13358,13358,13358,13358
1334,1334,1334,1334
13317,13317,13317,13317
13222,1323,1323,1323
13342,13342,13342,13342
13357,13357,13357,13357
13316,13316,13316,13316
13392,13392,13392,13392
13302,13302,13302,13302
13299,13299,13299,13299
13238,13238,13238,13238
13285,13285,13285,13285
12779,12779,12779,12779
13269,13269,13269,13269
13276,13276,13276,13276
13281,13291,13291,1329
13424,13424,13424,13424
13463,13463,13463,13463
13434,13566,13566,13566
13639,13639,13639,13639
13584,13584,13584,13584
13519,13519,13519,13519
13452,13452,13452,13452
13435,13435,13435,13435
1344,1344,1344,1344
13439,13408,13432,13408
13427,13427,13427,13427
1346,13541,13541,13541
13424,1348,1348,13422
13638,13638,13638,13638
13693,13693,13693,13693
13781,13781,13781,13781
13693,13682,13682,13682
13645,13645,13645,13645
13595,13595,13595,13595
13647,13647,13647,13647
13594,13594,13594,13594
13606,13606,13606,13606
13529,13529,13529,13529
13681,13681,13681,13681
13566,13566,13566,13566
135,135,135,135
13585,13585,13585,13585
13449,13449,13449,13449
13465,13465,13465,13465
13435,13435,13435,13435
13463,13463,13463,13463
13583,13583,13583,13583
13753,1374,1374,1374
13805,13805,13805,13805
13879,13879,13879,13879
1389,1389,1389,1389
13925,13925,13925,13925
13872,1388,1388,1388
14067,14067,14067,14067
14039,14039,14039,14039
132955,132435,133075,132405
132425,132465,132495,132385
13812,13812,13812,13812
13732,13732,13732,13732
13746,13746,13746,13746
13732,13732,13732,13732
13712,13712,13712,13712
13778,13778,13778,13778
13736,13736,13736,13736
13738,13738,13738,13738
13786,13786,13786,13786
13783,13783,13783,13783
13811,13826,13826,13826
1384,1384,1384,1384
13759,13776,13776,13776
13756,13756,13756,13756
13698,13698,13698,13698
1364,136,136,136
13449,13449,13449,13449
13493,13493,13493,13493
13484,13484,13484,13484
127905,128195,128295,127615
128205,12813,12827,12805
13481,13481,13481,13481
13579,13579,13579,13579
13593,13593,13593,13593
13537,13537,13537,13537
13572,13572,13572,13572
13554,13554,13554,13554
1353,1353,1353,1353
13573,13573,13573,13573
13511,13511,13511,13511
13552,13552,13552,13552
1351,13518,13518,13518
13598,13598,13598,13598
13495,13495,13495,13495
128335,12847,128475,128285
13471,13471,13471,13471
13483,13483,13483,13483
13465,13465,13465,13465
13383,1343,1343,1343
127075,12725,127455,127065
1337,1337,1337,1337
13231,13231,13231,13231
13331,13331,13331,13331
13213,13213,13213,13213
13185,13185,13185,13185
13174,13174,13174,13174
1307,1307,1307,1307
13132,13132,13132,13132
13158,13158,13158,13158
13129,13129,13129,13129
13148,13148,13148,13148
13195,13195,13195,13195
13102,13139,13139,13095
13096,13096,13096,13096
13136,13136,13136,13136
13064,13064,13064,13064
12927,12897,12897,12897
1297,1297,1297,1297
12964,12964,12964,12964
12865,12865,12865,12865
12958,12958,12958,12958
12961,12961,12961,12961
1228,12264,12297,12255
13008,13008,13008,13008
12934,12934,12934,12934
12975,12975,12975,12975
12949,12949,12949,12949
12876,12876,12876,12876
12832,12832,12832,12832
12747,12747,12747,12747
12768,12768,12768,12768
12822,12822,12822,12822
12993,12993,12993,12993
13028,13028,13028,13028
13004,13004,13004,13004
13064,13064,13064,13064
13073,13073,13073,13073
13122,13122,13122,13122
12882,12911,12911,12911
12989,12967,12967,12967
13011,13011,13011,13011
13097,13097,13097,13097
13067,13067,13067,13067
13055,13055,13055,13055
1312,1312,1312,1312
12998,12998,12998,12998
13038,13038,13038,13038
13051,13051,13051,13051
13019,13019,13019,13019
13058,13058,13058,13058
13054,13054,13054,13054
12963,12963,12963,12963
13023,12712,12712,12712
12677,12677,12677,12677
12658,12658,12658,12658
12629,12629,12629,12629
12802,12802,12802,12802
12755,12755,12755,12755
12767,12767,12767,12767
12807,12807,12807,12807
12644,12644,12644,12644
12687,127,127,127
12598,126,126,126
12718,12718,12718,12718
12782,12782,12782,12782
12774,12774,12774,12774
12743,12743,12743,12743
12844,12844,12844,12844
12815,12815,12815,12815
12757,12757,12757,12757
12784,12784,12784,12784
12738,12738,12738,12738
1281,1281,1281,1281
12839,12696,1271,12695
12744,12744,12744,12744
12716,12716,12716,12716
12721,12721,12721,12721
12757,12757,12757,12757
12726,12661,12719,12661
12702,12702,12702,12702
12063,12049,12096,12013
12049,12062,12066,12045
12777,12777,12777,12777
12761,12761,12761,12761
12833,12833,12833,12833
12864,12864,12864,12864
1288,1288,1288,1288
1285,1285,1285,1285
12652,12652,12652,12652
12758,12802,12802,12782
12728,12729,12729,12729
12675,1266,1266,1266
12581,12581,12581,12581
1258,1258,1258,1258
12597,12658,12658,12658
12759,12734,12734,12734
12741,12741,12741,12741
12946,12946,12946,12946
12958,12958,12958,12958
12968,12968,12968,12968
12942,12942,12942,12942
12936,13028,1305,12986
12994,12888,12984,12888
12962,1308,1308,1308
1304,1304,1304,1304
13098,13098,13098,13098
13077,13069,13091,13019
1309,1309,1309,1309
13115,13115,13115,13115
13167,13167,13167,13167
13108,13108,13108,13108
13107,13076,13076,13076
13168,13168,13168,13168
13104,1302,1302,1302
1315,1315,1315,1315
13146,132,132,132
13275,13275,13275,13275
1329,1327,1327,1327
13352,13352,13352,13352
13331,13331,13331,13331
13449,13449,13449,13449
13488,13488,13488,13488
13446,13446,13446,13446
13474,13474,13474,13474
12581,12562,12624,12553
13422,13422,13422,13422
13297,13297,13297,13297
13437,13437,13437,13437
134,134,134,134
13455,13455,13455,13455
135,135,135,135
13596,13537,13537,13537
13617,1365,1365,1365
13614,136,136,136
13657,13768,13768,13768
13696,13696,13696,13696
13715,13715,13715,13715
13697,13697,13697,13697
1401,1401,1401,1401
13939,13939,13939,13939
13922,13922,13922,13922
13959,13959,13959,13959
13948,13948,13948,13948
13948,13948,13948,13948
13939,13939,13939,13939
13945,13945,13945,13945
13895,13896,13905,13896
13901,13924,13924,13924
1395,1395,1395,1395
13967,13967,13967,13967
13937,13937,13937,13937
12976,12984,12997,12947
12983,12998,12999,12961
14032,14032,14032,14032
14042,14042,14042,14042
13892,13892,13892,13892
13921,13921,13921,13921
13911,13911,13911,13911
13913,13913,13913,13913
139,139,139,139
13921,13921,13921,13921
13898,14053,14053,14053
14179,14179,14179,14179
14204,14204,14204,14204
14221,14221,14221,14221
1413,14135,14135,14133
14138,14138,14138,14138
14142,14142,14142,14142
14147,14147,14147,14147
14124,14124,14124,14124
14053,14053,14053,14053
14064,14064,14064,14064
14191,14191,14191,14191
14236,14236,14236,14236
1418,1418,1418,1418
14229,14229,14229,14229
14331,14331,14331,14331
1424,1424,1424,1424
14382,1442,1442,1442
14488,1453,1453,1453
14535,14601,14601,14601
14493,14493,14493,14493
14506,14506,14506,14506
14479,14479,14479,14479
14414,14414,14414,14414
146,146,146,146
14455,14455,14455,14455
14396,14396,14396,14396
14359,14359,14359,14359
14281,14281,14281,14281
14397,14397,14397,14397
14365,14365,14365,14365
14458,14458,14458,14458
1426,1426,1426,1426
14289,14289,14289,14289
14478,14478,14478,14478
1461,1461,1461,1461
1455,1455,1455,1455
14322,14322,14322,14322
14266,14266,14266,14266
14162,14162,14162,14162
14217,14217,14217,14217
14163,14163,14163,14163
14217,14217,14217,14217
14297,14297,14297,14297
14314,14334,14334,14334
14248,14248,14248,14248
1428,1428,1428,1428
14237,14237,14237,14237
14279,14279,14279,14279
14359,14359,14359,14359
14205,14205,14205,14205
14242,14242,14242,14242
1406,1406,1406,1406
14192,14192,14192,14192
14196,14196,14196,14196
14331,14331,14331,14331
1429,1429,1429,1429
14314,14314,14314,14314
14306,14306,14306,14306
14284,14284,14284,14284
13478,13504,13539,13474
13505,13497,13524,13497
14528,14528,14528,14528
14515,14515,14515,14515
14529,14529,14529,14529
14248,14248,14248,14248
14209,14209,14209,14209
14101,14101,14101,14101
14148,14148,14148,14148
14107,14107,14107,14107
14254,14254,14254,14254
14329,14329,14329,14329
14346,14346,14346,14346
14451,14451,14451,14451
14394,14394,14394,14394
14362,14362,14362,14362
14413,14413,14413,14413
14537,14537,14537,14537
14631,14631,14631,14631
14563,14563,14563,14563
14342,14342,14342,14342
14296,14296,14296,14296
14259,14259,14259,14259
1419,1419,1419,1419
1431,1431,1431,1431
14281,14281,14281,14281
13418,13373,13449,1337
13374,13377,13386,13364
14257,14257,14257,14257
14114,14114,14114,14114
14083,14083,14083,14083
14013,1398,1398,1398
14074,14074,14074,14074
14083,14083,14083,14083
14073,14073,14073,14073
1404,1399,1399,1399
14001,14001,14001,14001
13087,13058,13097,13046
13919,13919,13919,13919
13794,13721,13721,1372
13723,13723,13723,13723
13685,13685,13685,13685
12779,12789,12795,12779
13598,13537,13543,13537
13513,13513,13513,13513
13504,13504,13504,13504
13448,13448,13448,13448
13456,13456,13456,13456
13374,13374,13374,13374
13372,1342,1342,1334
13287,13287,13287,13287
13219,13219,13219,13219
13268,13268,13268,13268
13281,13305,13305,13305
1333,13276,13276,13276
13462,13462,13462,13462
13451,13451,13451,13451
1358,1358,1358,1358
13628,13628,13628,13628
13573,13573,13573,13573
13664,1382,1382,1382
1379,1379,1379,1379
13787,13787,13787,13787
13716,13716,13716,13716
129166,129119,129387,128765
13764,13764,13764,13764
13648,13648,13648,13648
13576,13576,13576,13576
1378,1378,1378,1378
13594,13594,13594,13594
13587,13587,13587,13587
13642,13642,13642,13642
13604,13604,13604,13604
13545,13545,13545,13545
13668,13668,13668,13668
13623,13623,13623,13623
13539,13539,13539,13539
13597,13597,13597,13597
13469,13469,13469,13469
13554,13554,13554,13554
13546,13546,13546,13546
13477,13477,13477,13477
13549,13549,13549,13549
13491,13517,13517,13517
13465,13465,13465,13465
13555,13555,13555,13555
13542,13542,13542,13542
13569,13569,13569,13569
13562,13562,13562,13562
13659,13659,13659,13659
13593,13593,13593,13593
13625,13625,13625,13625
13797,1382,1382,1382
13804,1372,1372,1372
13723,13723,13723,13723
13645,13645,13645,13645
13694,13747,13747,13747
13604,1362,1362,1362
135,135,135,135
13483,13483,13483,13483
1351,1351,1351,1351
13488,13533,13533,13533
13501,13501,13501,13501
13576,13576,13576,13576
13613,13613,13613,13613
13607,13607,13607,13607
13741,13741,13741,13741
13835,1382,1382,1382
13694,13694,13694,13694
13667,13673,13673,13673
13883,13883,13883,13883
13826,13826,13826,13826
13803,13803,13803,13803
13951,13951,13951,13951
13992,13992,13992,13992
13967,13967,13967,13967
14018,14066,14066,14066
14041,14041,14041,14041
14193,14193,14193,14193
1418,1418,1418,1418
14059,14059,14059,14059
14112,14112,14112,14112
133808,134121,134459,133701
134122,134054,134207,133896
13971,13971,13971,13971
13885,13895,13937,13895
13809,13809,13809,13809
13857,13857,13857,13857
13826,13819,13819,13819
13648,13648,13648,13648
13589,13589,13589,13589
13617,13617,13617,13617
13586,13586,13586,13586
13641,13641,13641,13641
13588,13627,13725,13627
13599,13599,13599,13599
13508,13508,13508,13508
13475,13475,13475,13475
13581,13581,13581,13581
13614,13614,13614,13614
13578,13578,13578,13578
1347,1347,1347,1347
13304,13304,13304,13304
1332,13264,13264,13264
13317,13317,13317,13317
13416,13416,13416,13416
13455,13455,13455,13455
13463,13463,13463,13463
13407,13407,13407,13407
13426,13426,13426,13426
13337,13337,13337,13337
13224,13224,13224,13224
13232,13232,13232,13232
13254,13236,13236,13236
13259,13259,13259,13259
13171,13171,13171,13171
13137,13137,13137,13137
13135,13135,13135,13135
13054,13054,13054,13054
12988,1289,1289,1289
12885,12885,12885,12885
12912,12912,12912,12912
12877,12877,12877,12877
