Terakhir,Pembukaan,Tertinggi,Terendah
49.81,48.04,50.74,47.78
48.24,44.62,48.32,44.19
44.48,43.18,46.55,42.55
43.03,45.57,46.51,42.74
45.88,44.15,47.75,43.84
44.44,47.22,47.49,43.00
47.64,48.40,48.46,46.42
48.52,44.74,48.75,44.38
44.49,41.99,44.78,41.10
41.80,41.35,42.10,39.19
41.60,44.20,44.37,40.57
44.19,46.12,46.14,43.69
45.95,45.07,46.93,44.42
45.41,49.11,49.35,44.77
48.99,47.81,50.00,45.83
47.64,48.29,50.54,46.70
47.98,48.85,49.28,45.83
49.07,48.88,51.67,48.71
48.62,49.54,50.10,47.75
49.33,48.46,50.21,47.40
47.75,46.28,48.95,46.15
46.21,45.00,47.02,43.03
44.66,45.90,46.15,43.22
45.92,43.75,46.78,42.50
43.73,38.75,44.49,37.61
40.36,39.72,42.42,39.25
39.72,36.61,39.84,35.24
36.79,39.55,40.14,36.63
39.46,39.06,41.90,38.33
39.44,38.17,41.20,35.96
38.50,36.20,39.02,36.09
35.92,32.72,36.34,32.32
32.78,29.72,34.69,29.48
29.64,29.08,31.98,28.70
29.44,30.97,31.38,26.05
30.89,33.83,34.18,29.40
33.62,32.05,34.82,29.25
32.19,29.20,32.35,26.19
29.42,32.94,33.20,29.13
33.16,37.60,38.39,32.10
37.04,38.00,38.09,36.22
38.10,34.58,38.28,33.98
34.73,35.40,37.88,34.29
35.62,40.10,40.15,35.16
39.97,41.77,42.61,39.60
41.71,41.49,43.46,40.41
40.39,40.92,42.25,38.99
40.74,44.52,45.12,40.22
44.29,46.43,48.36,44.11
46.59,44.74,47.03,42.58
44.60,47.27,47.49,44.20
47.26,49.51,50.13,45.23
49.63,45.65,50.92,45.21
45.54,45.38,47.10,43.97
45.70,44.97,47.15,43.71
44.68,44.78,47.71,43.59
44.63,45.82,46.41,43.36
46.05,45.00,49.33,43.21
45.22,40.30,45.90,37.75
40.45,42.18,42.90,39.86
42.50,43.58,45.34,41.35
43.87,46.86,46.94,43.70
47.12,48.00,49.52,46.68
48.14,50.76,51.26,47.72
50.89,52.15,53.50,50.14
52.74,56.42,56.79,50.58
56.93,58.84,59.69,56.50
59.63,59.44,61.57,58.76
59.61,59.90,61.38,58.73
59.96,58.96,61.82,57.86
59.13,60.29,61.58,56.83
60.30,60.05,60.70,56.51
59.72,59.85,60.94,57.09
59.69,59.43,61.85,58.42
59.39,59.30,62.58,58.14
59.15,57.30,59.90,56.07
57.15,56.16,58.41,54.85
55.74,51.81,57.42,51.47
51.64,49.47,54.13,49.47
49.14,48.57,50.45,47.05
48.87,46.41,52.48,45.33
45.72,44.81,46.53,42.03
44.84,49.60,50.79,44.75
49.61,49.45,52.40,48.71
49.76,50.75,51.28,47.80
50.34,52.75,54.15,49.15
52.78,52.01,53.99,48.05
51.69,47.59,54.24,46.67
48.24,45.20,48.35,43.58
45.59,48.69,49.09,45.21
48.69,48.19,51.27,44.20
48.36,52.61,52.73,46.83
